bubbleSort,,,,,,,,Averages,,,
RunTime,,,,,,,,Bubble Sort,,,
i,1k(unsorted),10k(unsorted),100k(unsorted),1k(sorted),10k(sorted),100k(sorted),,,CPU-TIME,SWAPS,COMPARISONS
4,5640,75132,944010,0,0,0,,,,,
5,5640,75132,944010,0,0,0,,,,,
6,5640,75132,944010,0,0,0,,,,,
7,5640,75132,944010,0,0,0,,,,,
8,5640,75132,944010,0,0,0,,,,,
9,5640,75132,944010,0,0,0,,,,,
,,,,,,,,,,,
Comparisons,,,,,,,,,,,
i,1k(unsorted),10k(unsorted),100k(unsorted),1k(sorted),10k(sorted),100k(sorted),,,,,
0,28528,442867,5908710,3994,39994,399994,,,,,
1,28528,442867,5908710,3994,39994,399994,,,,,
2,28528,442867,5908710,3994,39994,399994,,,,,
3,28528,442867,5908710,3994,39994,399994,,,,,
4,28528,442867,5908710,3994,39994,399994,,,,,
5,28528,442867,5908710,3994,39994,399994,,,,,
6,28528,442867,5908710,3994,39994,399994,,,,,
7,28528,442867,5908710,3994,39994,399994,,,,,
8,28528,442867,5908710,3994,39994,399994,,,,,
9,28528,442867,5908710,3994,39994,399994,,,,,
